"","date","x"
"1",2020-02-25,1
"2",2020-02-26,0
"3",2020-02-27,0
"4",2020-02-28,1
"5",2020-02-29,0
"6",2020-03-01,0
"7",2020-03-02,0
"8",2020-03-03,0
"9",2020-03-04,1
"10",2020-03-05,3
"11",2020-03-06,4
"12",2020-03-07,3
"13",2020-03-08,3
"14",2020-03-09,0
"15",2020-03-10,3
"16",2020-03-11,11
"17",2020-03-12,16
"18",2020-03-13,10
"19",2020-03-14,9
"20",2020-03-15,71
"21",2020-03-16,16
"22",2020-03-17,12
"23",2020-03-18,77
"24",2020-03-19,45
"25",2020-03-20,110
"26",2020-03-21,63
"27",2020-03-22,172
"28",2020-03-23,114
"29",2020-03-24,65
"30",2020-03-25,52
"31",2020-03-26,191
"32",2020-03-27,170
"33",2020-03-28,183
"34",2020-03-29,45
"35",2020-03-30,66
"36",2020-03-31,822
"37",2020-04-01,642
"38",2020-04-02,525
"39",2020-04-03,542
"40",2020-04-04,418
"41",2020-04-05,154
"42",2020-04-06,246
"43",2020-04-07,816
"44",2020-04-08,1026
"45",2020-04-09,772
"46",2020-04-10,736
"47",2020-04-11,203
"48",2020-04-12,336
"49",2020-04-13,140
"50",2020-04-14,476
"51",2020-04-15,1672
"52",2020-04-16,525
"53",2020-04-17,1273
"54",2020-04-18,1053
"55",2020-04-19,373
"56",2020-04-20,313
"57",2020-04-21,805
"58",2020-04-22,529
"59",2020-04-23,826
"60",2020-04-24,1086
"61",2020-04-25,2178
"62",2020-04-26,711
"63",2020-04-27,981
"64",2020-04-28,2345
"65",2020-04-29,2117
"66",2020-04-30,2540
"67",2020-05-01,1676
"68",2020-05-02,800
"69",2020-05-03,598
"70",2020-05-04,415
"71",2020-05-05,1866
"72",2020-05-06,3800
"73",2020-05-07,2075
"74",2020-05-08,1902
"75",2020-05-09,2581
"76",2020-05-10,1033
"77",2020-05-11,687
"78",2020-05-12,1588
"79",2020-05-13,3378
"80",2020-05-14,3189
"81",2020-05-15,4092
"82",2020-05-16,2805
"83",2020-05-17,1162
"84",2020-05-18,721
"85",2020-05-19,2929
"86",2020-05-20,3864
"87",2020-05-21,3880
"88",2020-05-22,3132
"89",2020-05-23,3687
"90",2020-05-24,1603
"91",2020-05-25,1464
"92",2020-05-26,2392
"93",2020-05-27,3466
"94",2020-05-28,6382
"95",2020-05-29,5691
"96",2020-05-30,5586
